id,title,year,url,user_score,votes
36553,Time's Up! Title Recall!,2008,/boardgame/36553/times-title-recall,7.70,3382
17405,1846: The Race for the Midwest,2005,/boardgame/17405/1846-race-midwest,7.95,2537
133848,Euphoria: Build a Better Dystopia,2013,/boardgame/133848/euphoria-build-better-dystopia,7.22,10161
299659,Clash of Cultures: Monumental Edition,2021,/boardgame/299659/clash-cultures-monumental-edition,8.51,1774
11,Bohnanza,1997,/boardgame/11/bohnanza,7.04,41519
156009,Port Royal,2014,/boardgame/156009/port-royal,7.13,15307
31999,TZAAR,2007,/boardgame/31999/tzaar,7.67,3519
102652,Sentinels of the Multiverse,2011,/boardgame/102652/sentinels-multiverse,7.18,15501
875,Roads & Boats,1999,/boardgame/875/roads-boats,7.72,3243
142379,Escape Plan,2019,/boardgame/142379/escape-plan,7.56,4385
9674,Ingenious,2004,/boardgame/9674/ingenious,7.11,16354
147949,One Night Ultimate Werewolf,2014,/boardgame/147949/one-night-ultimate-werewolf,7.10,24340
90419,Airlines Europe,2011,/boardgame/90419/airlines-europe,7.30,7134
256680,Return to Dark Tower,2022,/boardgame/256680/return-dark-tower,8.48,2005
163968,Elysium,2015,/boardgame/163968/elysium,7.21,9154
58421,Egizia,2009,/boardgame/58421/egizia,7.40,5301
133473,Sushi Go!,2013,/boardgame/133473/sushi-go,7.03,40374
18,RoboRally,1994,/boardgame/18/roborally,7.07,23204
256952,Zombie Kidz Evolution,2018,/boardgame/256952/zombie-kidz-evolution,7.73,3507
31730,Chicago Express,2007,/boardgame/31730/chicago-express,7.25,7867
232043,Queendomino,2017,/boardgame/232043/queendomino,7.21,9615
6249,Alhambra,2003,/boardgame/6249/alhambra,7.03,31147
27173,Vikings,2007,/boardgame/27173/vikings,7.25,8189
260180,Project L,2020,/boardgame/260180/project-l,7.56,4251
42052,Vinhos,2010,/boardgame/42052/vinhos,7.48,4665
181530,Runebound (Third Edition),2015,/boardgame/181530/runebound-third-edition,7.47,5567
34119,Tales of the Arabian Nights,2009,/boardgame/34119/tales-arabian-nights,7.18,12206
97842,Last Will,2011,/boardgame/97842/last-will,7.18,9709
183251,Karuba,2015,/boardgame/183251/karuba,7.19,9908
175095,Dawn of the Zeds (Third Edition),2016,/boardgame/175095/dawn-zeds-third-edition,8.20,2129
91312,Discworld: Ankh-Morpork,2011,/boardgame/91312/discworld-ankh-morpork,7.24,9868
128780,Pax Porfiriana,2012,/boardgame/128780/pax-porfiriana,7.68,3380
475,Taj Mahal,2000,/boardgame/475/taj-mahal,7.27,7415
151022,Baseball Highlights: 2045,2015,/boardgame/151022/baseball-highlights-2045,7.53,4168
133038,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,2013,/boardgame/133038/pathfinder-adventure-card-game-rise-runelords-base,7.19,12424
252328,Star Wars: X-Wing (Second Edition),2018,/boardgame/252328/star-wars-x-wing-second-edition,8.16,2400
192836,The Colonists,2016,/boardgame/192836/colonists,7.59,3875
84419,Space Empires 4X,2011,/boardgame/84419/space-empires-4x,7.70,3488
22827,StarCraft: The Board Game,2007,/boardgame/22827/starcraft-board-game,7.34,7283
27746,Colosseum,2007,/boardgame/27746/colosseum,7.21,8720
196326,Love Letter: Premium Edition,2016,/boardgame/196326/love-letter-premium-edition,7.45,5106
153938,Camel Up,2014,/boardgame/153938/camel,7.04,24825
15363,Nexus Ops,2005,/boardgame/15363/nexus-ops,7.21,8677
284742,Honey Buzz,2020,/boardgame/284742/honey-buzz,7.76,3147
218603,Photosynthesis,2017,/boardgame/218603/photosynthesis,7.07,20244
141572,Paperback,2014,/boardgame/141572/paperback,7.16,9962
2346,DVONN,2001,/boardgame/2346/dvonn,7.45,4738
247367,"Air, Land, & Sea",2019,/boardgame/247367/air-land-sea,7.50,4227
159508,AquaSphere,2014,/boardgame/159508/aquasphere,7.27,6981
3685,Hammer of the Scots,2002,/boardgame/3685/hammer-scots,7.55,4007
284435,Nova Luna,2019,/boardgame/284435/nova-luna,7.38,5431
28023,Jamaica,2007,/boardgame/28023/jamaica,7.06,17945
216600,Fantastic Factories,2019,/boardgame/216600/fantastic-factories,7.52,4139
170561,Valeria: Card Kingdoms,2016,/boardgame/170561/valeria-card-kingdoms,7.45,4930
155703,Evolution,2014,/boardgame/155703/evolution,7.10,15161
172308,Broom Service,2015,/boardgame/172308/broom-service,7.18,9162
503,Through the Desert,1998,/boardgame/503/through-desert,7.08,13327
220,High Society,1995,/boardgame/220/high-society,7.12,11033
117959,Las Vegas,2012,/boardgame/117959/las-vegas,7.14,10230
4390,Carcassonne: Hunters and Gatherers,2002,/boardgame/4390/carcassonne-hunters-and-gatherers,7.13,12097
183562,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,2015,/boardgame/183562/star-wars-x-wing-miniatures-game-force-awakens-cor,7.77,3012
9625,Struggle of Empires,2004,/boardgame/9625/struggle-empires,7.52,4032
39351,Automobile,2009,/boardgame/39351/automobile,7.33,5577
160010,Conan,2016,/boardgame/160010/conan,7.67,4309
39938,Carson City,2009,/boardgame/39938/carson-city,7.24,6945
42215,Tobago,2009,/boardgame/42215/tobago,7.11,11415
140603,Francis Drake,2013,/boardgame/140603/francis-drake,7.40,4868
6472,A Game of Thrones,2003,/boardgame/6472/game-thrones,7.19,10369
205359,Star Wars: Destiny,2016,/boardgame/205359/star-wars-destiny,7.48,5056
245961,Fleet: The Dice Game,2018,/boardgame/245961/fleet-dice-game,7.74,2864
212445,Blood Bowl (2016 Edition),2016,/boardgame/212445/blood-bowl-2016-edition,8.01,2505
270673,Silver & Gold,2019,/boardgame/270673/silver-gold,7.28,6146
248490,Atlantis Rising (Second Edition),2019,/boardgame/248490/atlantis-rising-second-edition,7.70,3123
42776,Gears of War: The Board Game,2011,/boardgame/42776/gears-war-board-game,7.46,4889
216734,Dice Throne: Season One,2018,/boardgame/216734/dice-throne-season-one,7.57,4814
169255,A Game of Thrones: The Card Game (Second Edition),2015,/boardgame/169255/game-thrones-card-game-second-edition,7.53,4578
265402,In the Hall of the Mountain King,2019,/boardgame/265402/hall-mountain-king,7.70,3289
113924,Zombicide,2012,/boardgame/113924/zombicide,7.12,17756
257501,KeyForge: Call of the Archons,2018,/boardgame/257501/keyforge-call-archons,7.18,10563
131357,Coup,2012,/boardgame/131357/coup,6.99,40704
143519,Quantum,2013,/boardgame/143519/quantum,7.26,7053
303057,Pan Am,2020,/boardgame/303057/pan-am,7.59,3625
130960,Triumph & Tragedy: European Balance of Power 1936-1945,2015,/boardgame/130960/triumph-tragedy-european-balance-power-1936-1945,8.16,2029
