id,best_players,min_players,max_playtime,weight
215311,3.0,2,40,1.7381
70323,5.0,2,30,1.4901
260428,3.0,1,60,2.4407
265736,3.0,1,60,2.0547
21348,4.0,2,60,2.2426
128271,3.0,1,45,2.9106
195539,4.0,2,90,2.6196
40354,3.0,2,210,3.5095
204305,2.0,1,120,2.2083
40765,4.0,2,240,3.5961
166669,3.0,2,60,2.0819
170771,1.0,1,90,4.0714
236191,3.0,2,90,2.7152
71,7.0,2,360,3.6537
269210,2.0,1,30,2.3383
154809,4.0,2,120,3.7902
194594,4.0,2,45,1.9658
198773,6.0,2,15,1.2444
121,6.0,2,180,3.4515
15987,4.0,1,240,3.5788
243,2.0,2,480,4.7378
54625,2.0,2,60,2.7817
291572,4.0,1,150,4.0393
36932,2.0,2,45,2.48
161614,5.0,2,45,2.1092
215341,2.0,2,90,2.8421
124708,4.0,1,90,2.7181
55670,3.0,2,100,3.1375
66188,4.0,2,60,2.6337
63628,4.0,2,120,2.9623
229220,3.0,1,90,3.0472
138161,3.0,1,240,2.9538
151347,4.0,2,120,3.6829
251658,1.0,1,20,1.8413
128671,4.0,3,180,2.7166
100901,4.0,2,45,2.2017
310873,4.0,1,180,3.7897
372,2.0,2,20,1.7166
319966,3.0,2,45,2.1532
316377,5.0,3,30,2.1849
34219,3.0,2,30,1.6841
92415,6.0,3,45,1.1278
246684,5.0,1,90,2.7311
270844,2.0,1,90,2.8301
27162,4.0,2,90,2.4252
96913,4.0,2,60,2.9977
79828,2.0,2,90,3.0351
262543,6.0,2,45,1.1163
274960,3.0,2,30,1.1822
66362,4.0,2,70,2.6725
197376,6.0,1,75,2.8417
11170,2.0,2,90,2.2934
176396,4.0,2,60,2.2129
192153,4.0,2,40,2.1637
15985,2.0,2,120,3.1736
297562,4.0,2,120,3.1728
18833,2.0,2,30,2.1978
150,6.0,2,30,1.1263
137408,4.0,2,90,2.9819
301880,3.0,1,80,2.6894
105134,5.0,3,60,2.5922
150658,4.0,2,30,2.0571
